Gene stable ID version	Transcript stable ID version
ENSG00000198888.2	ENST00000361390.2
ENSG00000198763.3	ENST00000361453.3
ENSG00000198804.2	ENST00000361624.2
ENSG00000198712.1	ENST00000361739.1
ENSG00000228253.1	ENST00000361851.1
ENSG00000198899.2	ENST00000361899.2
ENSG00000198938.2	ENST00000362079.2
ENSG00000198840.2	ENST00000361227.2
ENSG00000212907.2	ENST00000361335.1
ENSG00000198886.2	ENST00000361381.2
ENSG00000198786.2	ENST00000361567.2
ENSG00000198695.2	ENST00000361681.2
ENSG00000198727.2	ENST00000361789.2
ENSG00000278704.1	ENST00000618686.1
ENSG00000271254.6	ENST00000616361.1
ENSG00000273947.5	ENST00000616520.4
ENSG00000273735.4	ENST00000620501.4
ENSG00000262826.5	ENST00000576030.5
ENSG00000276820.1	ENST00000616175.1
ENSG00000278306.1	ENST00000613265.1
ENSG00000278731.5	ENST00000616831.4
ENSG00000277554.5	ENST00000614792.4
ENSG00000276379.1	ENST00000612571.1
ENSG00000276433.1	ENST00000617100.1
ENSG00000276518.1	ENST00000614885.1
ENSG00000277334.4	ENST00000611233.4
ENSG00000276779.1	ENST00000618567.1
ENSG00000280663.4	ENST00000627415.2
ENSG00000277620.1	ENST00000614190.1
ENSG00000277044.3	ENST00000625570.1
ENSG00000277339.2	ENST00000612646.2
ENSG00000277616.1	ENST00000612069.1
ENSG00000278074.1	ENST00000618297.1
ENSG00000275407.1	ENST00000618796.1
ENSG00000278805.1	ENST00000614564.1
ENSG00000273510.1	ENST00000615298.1
ENSG00000274692.1	ENST00000617247.1
ENSG00000275237.4	ENST00000619946.1
ENSG00000273526.1	ENST00000617783.1
ENSG00000263057.2	ENST00000576098.2
ENSG00000275433.1	ENST00000617584.1
ENSG00000262068.3	ENST00000571440.2
ENSG00000273575.4	ENST00000610608.1
ENSG00000263296.2	ENST00000575409.2
ENSG00000275732.4	ENST00000616375.4
ENSG00000261992.2	ENST00000576342.2
ENSG00000262121.2	ENST00000574465.1
ENSG00000277484.5	ENST00000611369.4
ENSG00000276328.1	ENST00000619074.1
ENSG00000263091.2	ENST00000572903.2
ENSG00000276424.4	ENST00000618616.4
ENSG00000276885.1	ENST00000611311.1
ENSG00000277251.5	ENST00000622560.4
ENSG00000276044.4	ENST00000622350.3
ENSG00000276676.5	ENST00000615980.4
ENSG00000274406.1	ENST00000620669.1
ENSG00000278606.4	ENST00000618640.1
ENSG00000276258.1	ENST00000619473.1
ENSG00000277355.4	ENST00000613442.4
ENSG00000275946.5	ENST00000614018.4
ENSG00000275659.5	ENST00000612933.4
ENSG00000278152.2	ENST00000616462.2
ENSG00000275062.1	ENST00000618993.1
ENSG00000276425.1	ENST00000611495.1
ENSG00000273775.5	ENST00000613869.4
ENSG00000275421.1	ENST00000621207.1
ENSG00000275047.1	ENST00000614053.1
ENSG00000263309.6	ENST00000574480.5
ENSG00000276501.5	ENST00000619476.4
ENSG00000263163.5	ENST00000575439.5
ENSG00000274518.1	ENST00000613378.1
ENSG00000276423.6	ENST00000621353.4
ENSG00000281935.1	ENST00000631855.1
ENSG00000275276.1	ENST00000616310.1
ENSG00000277725.5	ENST00000611206.4
ENSG00000276084.1	ENST00000618394.1
ENSG00000274696.2	ENST00000613321.3
ENSG00000276876.4	ENST00000616648.2
ENSG00000277272.5	ENST00000612415.4
ENSG00000275018.6	ENST00000625658.1
ENSG00000269823.1	ENST00000599578.1
ENSG00000275172.1	ENST00000618920.1
ENSG00000274189.4	ENST00000614427.1
ENSG00000275080.5	ENST00000617127.4
ENSG00000277193.1	ENST00000614513.1
ENSG00000276534.5	ENST00000618890.4
ENSG00000274782.1	ENST00000613580.1
ENSG00000276392.1	ENST00000617974.1
ENSG00000277650.1	ENST00000619698.1
ENSG00000274948.5	ENST00000613229.4
ENSG00000273661.5	ENST00000614650.4
ENSG00000274830.5	ENST00000610407.4
ENSG00000273578.1	ENST00000612594.1
ENSG00000276858.4	ENST00000613199.4
ENSG00000262845.7	ENST00000610983.1
ENSG00000262808.2	ENST00000573871.1
ENSG00000278369.1	ENST00000617853.1
ENSG00000274676.1	ENST00000611422.1
ENSG00000262731.3	ENST00000573155.2
ENSG00000275035.2	ENST00000632401.1
ENSG00000277982.4	ENST00000620485.4
ENSG00000263229.4	ENST00000573418.2
ENSG00000262347.2	ENST00000575715.2
ENSG00000262520.1	ENST00000576939.1
ENSG00000275008.1	ENST00000617404.1
ENSG00000277833.4	ENST00000620449.1
ENSG00000263243.2	ENST00000572470.2
ENSG00000261862.2	ENST00000572212.1
ENSG00000274945.4	ENST00000613824.1
ENSG00000275599.1	ENST00000617330.1
ENSG00000275511.4	ENST00000615208.4
ENSG00000274402.1	ENST00000619702.1
ENSG00000278850.4	ENST00000620550.4
ENSG00000274243.5	ENST00000619479.4
ENSG00000274707.5	ENST00000611411.4
ENSG00000262164.6	ENST00000575391.5
ENSG00000278414.5	ENST00000610920.4
ENSG00000274722.4	ENST00000617354.4
ENSG00000275521.4	ENST00000616780.4
ENSG00000277964.1	ENST00000619848.1
ENSG00000261852.3	ENST00000571136.1
ENSG00000276590.5	ENST00000611821.4
ENSG00000263101.2	ENST00000572132.2
ENSG00000262862.2	ENST00000570303.2
ENSG00000263236.2	ENST00000571271.1
ENSG00000273738.4	ENST00000622737.4
ENSG00000263242.2	ENST00000576814.2
ENSG00000266286.2	ENST00000571574.3
ENSG00000261968.3	ENST00000574631.2
ENSG00000275717.5	ENST00000619211.4
ENSG00000276985.4	ENST00000614226.4
ENSG00000276329.5	ENST00000620959.4
ENSG00000273502.4	ENST00000610437.4
ENSG00000276086.1	ENST00000617919.1
ENSG00000273603.1	ENST00000618071.1
ENSG00000275699.4	ENST00000621258.3
ENSG00000275596.1	ENST00000613155.1
ENSG00000274480.1	ENST00000612502.1
ENSG00000276004.4	ENST00000622024.4
ENSG00000276218.5	ENST00000611207.4
ENSG00000275750.1	ENST00000612504.1
ENSG00000276498.5	ENST00000621225.2
ENSG00000276139.4	ENST00000614727.4
ENSG00000278427.5	ENST00000615523.4
ENSG00000275253.1	ENST00000614231.1
ENSG00000276333.2	ENST00000293937.5
ENSG00000277317.5	ENST00000619995.4
ENSG00000274724.1	ENST00000614181.1
ENSG00000274955.4	ENST00000619637.4
ENSG00000275937.1	ENST00000615969.1
ENSG00000275486.5	ENST00000622515.4
ENSG00000275786.5	ENST00000621071.4
ENSG00000277885.1	ENST00000610441.1
ENSG00000274193.4	ENST00000622882.4
ENSG00000273518.5	ENST00000617680.4
ENSG00000276011.1	ENST00000619621.1
ENSG00000278474.4	ENST00000611628.4
ENSG00000276806.1	ENST00000610869.1
ENSG00000278327.5	ENST00000611990.4
ENSG00000273517.1	ENST00000622039.1
ENSG00000277596.1	ENST00000612095.1
ENSG00000274283.5	ENST00000610591.2
ENSG00000273887.1	ENST00000615739.1
ENSG00000278710.4	ENST00000621701.4
ENSG00000274563.1	ENST00000619788.1
ENSG00000276450.1	ENST00000615309.1
ENSG00000276930.1	ENST00000614255.1
ENSG00000274556.1	ENST00000620803.1
ENSG00000278304.1	ENST00000612447.1
ENSG00000274108.5	ENST00000617593.4
ENSG00000279566.1	ENST00000624335.1
ENSG00000281486.1	ENST00000627224.1
ENSG00000276686.1	ENST00000620638.1
ENSG00000277362.1	ENST00000613053.1
ENSG00000280830.1	ENST00000627048.1
ENSG00000276395.1	ENST00000617469.1
ENSG00000277552.1	ENST00000611367.1
ENSG00000278442.4	ENST00000613610.4
ENSG00000274746.4	ENST00000614218.4
ENSG00000278758.4	ENST00000613891.4
ENSG00000278780.4	ENST00000625163.3
ENSG00000275974.2	ENST00000369222.5
ENSG00000274891.3	ENST00000618133.3
ENSG00000278025.4	ENST00000618798.4
ENSG00000275626.4	ENST00000619683.4
ENSG00000275452.2	ENST00000613017.2
ENSG00000277356.1	ENST00000618987.1
ENSG00000274610.1	ENST00000621881.1
ENSG00000275288.6	ENST00000616188.4
ENSG00000276310.1	ENST00000610627.1
ENSG00000275608.5	ENST00000622416.1
ENSG00000275262.4	ENST00000615308.4
ENSG00000273794.4	ENST00000612312.1
ENSG00000275083.4	ENST00000617957.4
ENSG00000274786.1	ENST00000610861.1
ENSG00000278091.4	ENST00000615320.4
ENSG00000274947.1	ENST00000619771.1
ENSG00000281020.2	ENST00000625507.1
ENSG00000262647.3	ENST00000575017.3
ENSG00000274146.5	ENST00000621718.4
ENSG00000275050.4	ENST00000452874.3
ENSG00000261958.1	ENST00000573911.1
ENSG00000262191.1	ENST00000571130.1
ENSG00000278755.1	ENST00000619424.1
ENSG00000267728.3	ENST00000592900.1
ENSG00000278079.6	ENST00000610602.4
ENSG00000263090.5	ENST00000572513.1
ENSG00000275970.4	ENST00000620801.4
ENSG00000275136.4	ENST00000621702.4
ENSG00000277750.1	ENST00000614653.1
ENSG00000278201.4	ENST00000620007.4
ENSG00000278271.1	ENST00000615970.1
ENSG00000262512.2	ENST00000575341.2
ENSG00000277630.4	ENST00000616049.4
ENSG00000262749.2	ENST00000571096.2
ENSG00000267635.1	ENST00000574248.2
ENSG00000262218.1	ENST00000576125.1
ENSG00000274465.5	ENST00000620611.1
ENSG00000262573.2	ENST00000571104.1
ENSG00000262896.2	ENST00000570861.2
ENSG00000278490.1	ENST00000613313.1
ENSG00000263263.1	ENST00000576511.1
ENSG00000262221.1	ENST00000573531.1
ENSG00000262542.1	ENST00000574737.1
ENSG00000273498.4	ENST00000611434.4
ENSG00000262594.4	ENST00000570825.1
ENSG00000277196.4	ENST00000621424.4
ENSG00000278277.1	ENST00000611199.1
ENSG00000278692.1	ENST00000618870.1
ENSG00000275735.1	ENST00000618364.1
ENSG00000277392.1	ENST00000615880.1
ENSG00000278817.1	ENST00000613204.1
ENSG00000276017.1	ENST00000617983.1
ENSG00000274254.1	ENST00000618713.1
ENSG00000278726.4	ENST00000617398.4
ENSG00000274971.1	ENST00000622568.1
ENSG00000275731.1	ENST00000614639.1
ENSG00000275428.2	ENST00000621609.2
ENSG00000275051.2	ENST00000613226.2
ENSG00000281775.2	ENST00000625428.2
ENSG00000275914.5	ENST00000618388.4
ENSG00000281151.2	ENST00000627948.2
ENSG00000276459.5	ENST00000622644.4
ENSG00000275416.4	ENST00000621155.4
ENSG00000274382.2	ENST00000614006.2
ENSG00000282665.1	ENST00000632053.1
ENSG00000276882.4	ENST00000610587.4
ENSG00000275269.4	ENST00000619385.4
ENSG00000278116.1	ENST00000621273.1
ENSG00000275500.1	ENST00000620545.1
ENSG00000275517.4	ENST00000625471.2
ENSG00000276327.1	ENST00000611996.1
ENSG00000279389.3	ENST00000623152.1
ENSG00000275637.4	ENST00000617741.4
ENSG00000275629.4	ENST00000616438.4
ENSG00000278207.1	ENST00000616642.1
ENSG00000274429.2	ENST00000614211.2
ENSG00000278229.2	ENST00000632419.1
ENSG00000277603.4	ENST00000613631.2
ENSG00000282752.1	ENST00000632301.1
